height;avgdepth
283;0,700836
50;0,000000
111;0,800297
116;0,880958
215;0,108677
270;0,530653
124;0,882238
287;0,674459
221;0,723940
247;0,476795
38;0,000000
132;0,794423
120;0,000000
104;0,828839
169;0,594486
115;0,901020
113;0,000000
170;0,442454
55;0,903276
231;0,777375
48;0,873955
184;0,763134
229;0,868464
55;0,911671
49;0,906722
230;0,362861
228;0,569885
129;0,682497
100;0,000000
186;0,858847
100;0,000000
106;0,836371
69;0,290788
108;0,852131
65;0,000000
99;0,092173
66;0,667919
235;0,365025
84;0,778062
269;0,255723
219;0,409442
39;0,922860
96;0,743506
273;0,468704
235;0,272630
222;0,194980
174;0,498875
253;0,344109
224;0,797785
284;0,671082
157;0,782925
176;0,379586
97;0,470417
190;0,494349
130;0,000000
207;0,390766
276;0,502344
240;0,321372
273;0,276121
256;0,502526
149;0,000000
193;0,889108
123;0,326732
35;0,924404
203;0,931045
273;0,332307
249;0,404668
49;0,605004
85;0,885929
279;0,692832
238;0,822533
204;0,304363
107;0,000000
160;0,186796
201;0,665578
93;0,170657
160;0,844867
238;0,375298
70;0,804727
130;0,372071
174;0,647250
164;0,580398
196;0,394064
97;0,004705
86;0,192735
149;0,433245
94;0,721695
201;0,474118
56;0,868508
84;0,000000
87;0,914641
226;0,763554
261;0,380536
199;0,747913
58;0,184451
74;0,000000
121;0,490482
155;0,254813
112;0,514154
259;0,543769
247;0,381382
102;0,752212
183;0,110029
221;0,658983
77;0,177269
133;0,213330
91;0,754290
268;0,490853
241;0,317300
161;0,519821
49;0,045129
185;0,265645
228;0,559328
143;0,039065
90;0,818920
223;0,563295
178;0,860130
206;0,497902
120;0,009788
132;0,877013
174;0,524336
164;0,126837
252;0,655798
165;0,816457
105;0,495378
244;0,275524
69;0,000000
237;0,130371
207;0,506715
223;0,311789
267;0,339173
151;0,870577
200;0,725552
189;0,348349
45;0,000000
180;0,399640
152;0,154716
85;0,000000
163;0,841776
222;0,181929
72;0,000000
144;0,443822
32;0,743393
262;0,413881
172;0,201395
58;0,866157
196;0,768198
214;0,182494
284;0,506515
142;0,338096
204;0,865628
214;0,116273
136;0,215595
188;0,555687
207;0,700708
151;0,228580
117;0,000000
113;0,253847
270;0,317273
278;0,507654
90;0,120177
129;0,149949
260;0,585981
84;0,867989
198;0,456920
178;0,470442
58;0,873366
203;0,727313
113;0,807581
266;0,618201
262;0,537395
232;0,569550
186;0,177835
119;0,874109
96;0,633479
258;0,857712
218;0,351525
254;0,655348
192;0,735480
273;0,424991
204;0,830555
213;0,559238
211;0,791374
268;0,793054
65;0,030871
283;0,514082
119;0,227464
159;0,475775
77;0,870374
234;0,663242
143;0,816213
259;0,526100
252;0,557076
96;0,881072
283;0,541321
111;0,879452
96;0,661258
151;0,386174
84;0,173693
93;0,844251
76;0,000000
129;0,806122
239;0,343753
64;0,897805
130;0,867388
53;0,859623
108;0,853499
204;0,850240
88;0,000000
243;0,742497
95;0,310768
145;0,893346
78;0,896687
171;0,792749
73;0,903670
68;0,680844
190;0,772702
103;0,868054
112;0,862472
54;0,907970
180;0,201346
150;0,572578
118;0,339956
178;0,475278
156;0,282403
247;0,186994
96;0,868156
153;0,427318
53;0,000000
77;0,948039
103;0,382479
280;0,426275
188;0,471074
220;0,444964
40;0,882132
68;0,380029
84;0,855026
107;0,000000
248;0,440086
153;0,813217
66;0,841628
75;0,588622
207;0,393860
48;0,900980
98;0,008423
251;0,637094
237;0,762152
110;0,919465
87;0,919676
156;0,147774
192;0,283331
271;0,329987
214;0,324770
243;0,456428
183;0,429839
139;0,852394
264;0,506274
125;0,426782
190;0,647535
104;0,840587
106;0,886873
84;0,339034
187;0,156076
154;0,314441
260;0,713735
180;0,716140
56;0,535252
215;0,782337
61;0,815836
109;0,000000
96;0,571484
70;0,366335
107;0,860638
65;0,470565
253;0,390560
179;0,645258
53;0,917112
181;0,460772
161;0,833570
61;0,370512
249;0,692947
85;0,880725
83;0,000000
213;0,593216
141;0,773831
157;0,332922
274;0,466973
100;0,896817
258;0,586763
51;0,000000
224;0,671563
199;0,549745
80;0,023869
75;0,000000
95;0,844161
282;0,726898
180;0,267480
185;0,808617
132;0,846460
227;0,537293
46;0,000000
208;0,298206
257;0,556046
154;0,294877
101;0,000000
89;0,363064
187;0,541318
221;0,761991
126;0,960965
111;0,198379
155;0,784801
191;0,696895
143;0,087301
248;0,191948
280;0,689307
124;0,756322
203;0,603638
175;0,309414
123;0,191465
283;0,484870
226;0,642933
174;0,606062
168;0,725853
98;0,918142
196;0,841376
270;0,555787
114;0,908403
85;0,857446
93;0,283668
158;0,275446
285;0,510403
44;0,834226
167;0,823234
277;0,345297
196;0,658267
77;0,899202
267;0,632762
226;0,469128
245;0,442534
269;0,463357
48;0,698583
90;0,466414
118;0,727159
146;0,492410
65;0,879728
149;0,639771
115;0,840571
121;0,053380
71;0,838148
263;0,504444
151;0,724447
177;0,878515
37;0,818841
195;0,701099
149;0,403354
113;0,353572
268;0,407549
144;0,876067
168;0,279713
97;0,000000
138;0,804710
219;0,464947
124;0,000000
41;0,859903
226;0,322021
197;0,699913
236;0,182542
179;0,457654
87;0,057629
54;0,083760
158;0,176997
57;0,364468
122;0,334096
213;0,192812
117;0,399978
67;0,788889
58;0,153189
93;0,000000
107;0,873494
188;0,589020
241;0,498805
111;0,514700
66;0,000000
35;0,844839
236;0,615928
48;0,891747
77;0,885451
193;0,624273
256;0,623997
132;0,132973
204;0,660548
95;0,000000
181;0,318153
239;0,751473
109;0,325506
180;0,835616
62;0,000000
93;0,760684
254;0,525802
277;0,376523
248;0,613307
35;0,000000
200;0,785605
119;0,859326
61;0,786649
121;0,495320
44;0,896879
242;0,621879
283;0,383068
44;0,827589
87;0,864170
152;0,035990
80;0,354933
209;0,365735
65;0,531070
276;0,628365
72;0,827064
227;0,883971
68;0,144218
140;0,600142
139;0,017796
214;0,209904
256;0,483995
143;0,850880
87;0,650370
226;0,651382
109;0,542518
117;0,945531
81;0,923752
146;0,843672
187;0,893064
104;0,880614
135;0,225175
71;0,944207
142;0,872683
41;0,000000
254;0,433654
263;0,623840
77;0,877132
42;0,795467
127;0,077210
287;0,688130
106;0,464517
231;0,579494
247;0,694748
207;0,687527
33;0,000000
146;0,855283
146;0,595251
108;0,834579
267;0,730496
109;0,594755
124;0,715221
44;0,154632
122;0,115784
123;0,532544
61;0,000000
244;0,486553
90;0,087906
250;0,391049
286;0,264774
226;0,594643
45;0,560918
168;0,902535
107;0,823029
205;0,509570
66;0,000000
79;0,881184
224;0,528607
113;0,499541
187;0,870313
125;0,570240
40;0,776225
125;0,178734
112;0,494788
249;0,655037
187;0,343480
67;0,861790
96;0,842766
217;0,662930
244;0,600758
53;0,000000
168;0,139523
192;0,916366
261;0,741957
224;0,329601
221;0,728449
272;0,499206
242;0,345793
72;0,169658
65;0,790092
72;0,898581
182;0,333184
70;0,164365
112;0,000000
75;0,181200
34;0,000000
188;0,840310
82;0,000000
172;0,212055
204;0,253210
100;0,889435
76;0,880113
285;0,713000
67;0,303541
38;0,907137
84;0,021280
141;0,688643
241;0,295320
218;0,473713
172;0,839307
233;0,257488
185;0,726071
46;0,566478
113;0,000000
64;0,886666
186;0,535968
245;0,427685
165;0,903301
36;0,000000
33;0,621222
152;0,493022
128;0,085938
260;0,479979
227;0,531840
186;0,187793
115;0,812128
268;0,498340
206;0,580023
79;0,886505
99;0,840000
240;0,573283
193;0,906532
173;0,805215
55;0,308810
175;0,635363
230;0,691375
203;0,754348
216;0,542024
143;0,813626
130;0,901802
88;0,858799
128;0,853937
68;0,000000
209;0,702472
76;0,000000
167;0,685416
160;0,815111
176;0,353651
51;0,651826
112;0,827111
172;0,531004
145;0,577549
103;0,847455
244;0,540124
133;0,859906
117;0,897750
81;0,882738
171;0,838552
250;0,604034
138;0,013484
56;0,000000
113;0,890097
275;0,462921
204;0,850304
45;0,774892
142;0,821109
78;0,804964
50;0,843217
216;0,406789
74;0,912639
66;0,050723
132;0,486231
250;0,604034
227;0,545522
159;0,721094
135;0,098033
174;0,775626
37;0,531993
109;0,894615
224;0,620067
155;0,383569
268;0,493034
114;0,835385
53;0,317345
133;0,462013
102;0,000000
285;0,551967
191;0,798982
158;0,912022
257;0,439978
99;0,006210
172;0,641624
187;0,721611
155;0,653882
121;0,000000
100;0,814435
152;0,205610
207;0,622984
35;0,000000
146;0,061954
218;0,274577
